race_id,office,state,district,special,new_map,redistricting_status,lean_vintage,incumbent_party,open_seat,note,lean,lean_source,lag_margin,lag_cycle,inc_status,incumbency,fund_dem,fund_rep,fund_share_dem,fund_logratio,provenance
H-CA-09,House,CA,9,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-10,House,CA,10,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-11,House,CA,11,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-12,House,CA,12,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-13,House,CA,13,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-14,House,CA,14,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-15,House,CA,15,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-16,House,CA,16,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-17,House,CA,17,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-18,House,CA,18,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-19,House,CA,19,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-20,House,CA,20,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-21,House,CA,21,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-22,House,CA,22,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-23,House,CA,23,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-24,House,CA,24,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-25,House,CA,25,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-26,House,CA,26,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-27,House,CA,27,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-28,House,CA,28,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-29,House,CA,29,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-30,House,CA,30,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-31,House,CA,31,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-32,House,CA,32,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-33,House,CA,33,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-34,House,CA,34,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-35,House,CA,35,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-36,House,CA,36,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-37,House,CA,37,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-38,House,CA,38,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-39,House,CA,39,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-40,House,CA,40,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-41,House,CA,41,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-42,House,CA,42,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-43,House,CA,43,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-44,House,CA,44,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-45,House,CA,45,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-46,House,CA,46,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-47,House,CA,47,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-48,House,CA,48,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-49,House,CA,49,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-50,House,CA,50,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-51,House,CA,51,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-52,House,CA,52,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CO-01,House,CO,1,False,False,census_map,2022,D,,,55.20527,538_2022,54.957698815566836,2024.0,incumbent_running,1.0,,,,,mirror
H-CO-02,House,CO,2,False,False,census_map,2022,D,,,32.81107,538_2022,39.423805731720186,2024.0,incumbent_running,1.0,,,,,mirror
H-CO-03,House,CO,3,False,False,census_map,2022,R,,,-14.34963,538_2022,-4.981474168224111,2024.0,incumbent_running,-1.0,,,,,mirror
H-CO-04,House,CO,4,False,False,census_map,2022,R,,,-25.3082,538_2022,-11.604106233265682,2024.0,incumbent_running,-1.0,,,,,mirror
H-CO-05,House,CO,5,False,False,census_map,2022,R,,,-17.88243,538_2022,-13.795655716199235,2024.0,incumbent_running,-1.0,,,,,mirror
H-CO-06,House,CO,6,False,False,census_map,2022,D,,,16.72773,538_2022,20.514312480180145,2024.0,incumbent_running,1.0,,,,,mirror
H-CO-07,House,CO,7,False,False,census_map,2022,D,,,5.924933,538_2022,14.183056863693345,2024.0,incumbent_running,1.0,,,,,mirror
H-CO-08,House,CO,8,False,False,census_map,2022,R,,,-2.542467,538_2022,-0.734077502278069,2024.0,incumbent_running,-1.0,,,,,mirror
H-CT-01,House,CT,1,False,False,census_map,2022,D,,,20.56025,538_2022,28.317427272892324,2024.0,incumbent_running,1.0,,,,,mirror
H-CT-02,House,CT,2,False,False,census_map,2022,D,,,2.942917,538_2022,16.030974851547825,2024.0,incumbent_running,1.0,,,,,mirror
H-CT-03,House,CT,3,False,False,census_map,2022,D,,,11.91095,538_2022,17.806903135384275,2024.0,incumbent_running,1.0,,,,,mirror
H-CT-04,House,CT,4,False,False,census_map,2022,D,,,23.32058,538_2022,23.717907783626316,2024.0,incumbent_running,1.0,,,,,mirror
H-CT-05,House,CT,5,False,False,census_map,2022,D,,,2.564117,538_2022,6.815657351046333,2024.0,incumbent_running,1.0,,,,,mirror
H-DE-01,House,DE,1,False,False,census_map,2022,D,,,13.92317,538_2022,15.725440056610296,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-01,House,FL,1,False,False,litigation,2022,R,,,-37.97575,538_2022,-32.07223528504799,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-02,House,FL,2,False,False,litigation,2022,R,,,-16.45658,538_2022,-23.27582778164463,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-03,House,FL,3,False,False,litigation,2022,R,,,-18.11241,538_2022,-23.218642149712487,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-04,House,FL,4,False,False,litigation,2022,R,,,-15.25688,538_2022,-14.536409260742268,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-05,House,FL,5,False,False,litigation,2022,R,,,-23.23915,538_2022,-26.151948762450957,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-06,House,FL,6,False,False,litigation,2022,R,,,-27.74971,538_2022,-33.06961359053416,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-07,House,FL,7,False,False,litigation,2022,R,,,-13.93371,538_2022,-13.052912379728127,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-08,House,FL,8,False,False,litigation,2022,R,,,-22.96675,538_2022,-24.476965154690447,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-09,House,FL,9,False,False,litigation,2022,D,,,15.97086,538_2022,12.553928325824216,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-10,House,FL,10,False,False,litigation,2022,D,,,29.01435,538_2022,24.74777856074799,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-11,House,FL,11,False,False,litigation,2022,R,,,-19.28234,538_2022,-20.75120570937863,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-12,House,FL,12,False,False,litigation,2022,R,,,-33.99388,538_2022,-42.07761985555216,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-13,House,FL,13,False,False,litigation,2022,R,,,-12.16665,538_2022,-9.646908475119844,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-14,House,FL,14,False,False,litigation,2022,D,,,13.98686,538_2022,15.357596698887725,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-15,House,FL,15,False,False,litigation,2022,R,,,-7.097845,538_2022,-12.359395447159145,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-16,House,FL,16,False,False,litigation,2022,R,,,-12.77148,538_2022,-18.957757106365392,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-17,House,FL,17,False,False,litigation,2022,R,,,-22.32818,538_2022,-27.807668433785693,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-18,House,FL,18,False,False,litigation,2022,R,,,-29.25595,538_2022,-30.606397201912955,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-19,House,FL,19,False,False,litigation,2022,R,,,-26.32021,538_2022,-32.632905668364806,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-20,House,FL,20,False,False,litigation,2022,,,,49.15519,538_2022,,,open,0.0,,,,,mirror
H-FL-21,House,FL,21,False,False,litigation,2022,R,,,-13.59898,538_2022,-23.64773623670243,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-22,House,FL,22,False,False,litigation,2022,D,,,13.69462,538_2022,9.911245829426264,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-23,House,FL,23,False,False,litigation,2022,D,,,8.813388,538_2022,4.890240090618377,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-24,House,FL,24,False,False,litigation,2022,D,,,50.99162,538_2022,36.47982408224435,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-25,House,FL,25,False,False,litigation,2022,D,,,17.96772,538_2022,8.955363048564791,2024.0,incumbent_running,1.0,,,,,mirror
H-FL-26,House,FL,26,False,False,litigation,2022,R,,,-13.60448,538_2022,-41.83451910236359,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-27,House,FL,27,False,False,litigation,2022,R,,,0.8268887,538_2022,-20.751090591056396,2024.0,incumbent_running,-1.0,,,,,mirror
H-FL-28,House,FL,28,False,False,litigation,2022,R,,,-3.899812,538_2022,-29.131946258802422,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-01,House,GA,1,False,False,census_map,2022,R,,,-19.51325,538_2022,-23.968897618987413,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-02,House,GA,2,False,False,census_map,2022,D,,,4.303485,538_2022,12.657559495809608,2024.0,incumbent_running,1.0,,,,,mirror
H-GA-03,House,GA,3,False,False,census_map,2022,R,,,-37.72735,538_2022,-32.610949888898325,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-04,House,GA,4,False,False,census_map,2022,D,,,50.03138,538_2022,51.16643207267908,2024.0,incumbent_running,1.0,,,,,mirror
H-GA-05,House,GA,5,False,False,census_map,2022,D,,,59.93855,538_2022,71.35741116293414,2024.0,incumbent_running,1.0,,,,,mirror
H-GA-06,House,GA,6,False,False,census_map,2022,D,,,-24.23505,538_2022,49.36047937765006,2024.0,incumbent_running,1.0,,,,,mirror
H-GA-07,House,GA,7,False,False,census_map,2022,R,,,16.06375,538_2022,-29.70369639104743,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-08,House,GA,8,False,False,census_map,2022,R,,,-34.56982,538_2022,-37.83338938809041,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-09,House,GA,9,False,False,census_map,2022,R,,,-46.10865,538_2022,-38.00965337460795,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-10,House,GA,10,False,False,census_map,2022,R,,,-31.15672,538_2022,-26.103718565288794,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-11,House,GA,11,False,False,census_map,2022,R,,,-24.05728,538_2022,-33.756223564293336,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-12,House,GA,12,False,False,census_map,2022,R,,,-16.87351,538_2022,-20.638446255999717,2024.0,incumbent_running,-1.0,,,,,mirror
H-GA-13,House,GA,13,False,False,census_map,2022,D,,,52.45722,538_2022,43.66835182534001,2024.0,incumbent_running,1.0,,,,,mirror
H-GA-14,House,GA,14,False,False,census_map,2022,R,,,-45.16958,538_2022,-28.737589402572674,2024.0,incumbent_running,-1.0,,,,,mirror
H-HI-01,House,HI,1,False,False,census_map,2022,D,,,31.94248,538_2022,43.68312847207034,2024.0,incumbent_running,1.0,,,,,mirror
H-HI-02,House,HI,2,False,False,census_map,2022,D,,,31.68955,538_2022,36.28935544220406,2024.0,incumbent_running,1.0,,,,,mirror
H-ID-01,House,ID,1,False,False,census_map,2022,R,,,-45.50601,538_2022,-45.55424007275192,2024.0,incumbent_running,-1.0,,,,,mirror
H-ID-02,House,ID,2,False,False,census_map,2022,R,,,-26.67605,538_2022,-30.405289327593735,2024.0,incumbent_running,-1.0,,,,,mirror
H-IL-01,House,IL,1,False,False,census_map,2022,D,,,40.62955,538_2022,31.700404730385124,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-02,House,IL,2,False,False,census_map,2022,D,,,36.84659,538_2022,35.113147462591826,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-03,House,IL,3,False,False,census_map,2022,D,,,38.57446,538_2022,34.56530772427165,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-04,House,IL,4,False,False,census_map,2022,D,,,43.97005,538_2022,40.22364774511135,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-05,House,IL,5,False,False,census_map,2022,D,,,35.36106,538_2022,37.94156031486544,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-06,House,IL,6,False,False,census_map,2022,D,,,6.162658,538_2022,8.414243941694764,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-07,House,IL,7,False,False,census_map,2022,D,,,70.00192,538_2022,66.5576151404444,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-08,House,IL,8,False,False,census_map,2022,D,,,11.67969,538_2022,14.111121742946423,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-09,House,IL,9,False,False,census_map,2022,D,,,37.83539,538_2022,36.77854250534193,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-10,House,IL,10,False,False,census_map,2022,D,,,20.95613,538_2022,19.9416398826693,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-11,House,IL,11,False,False,census_map,2022,D,,,9.961191,538_2022,11.175087020829388,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-12,House,IL,12,False,False,census_map,2022,R,,,-46.41387,538_2022,-48.38546469402578,2024.0,incumbent_running,-1.0,,,,,mirror
H-IL-13,House,IL,13,False,False,census_map,2022,D,,,6.505558,538_2022,16.21305007587253,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-14,House,IL,14,False,False,census_map,2022,D,,,6.49219,538_2022,10.206981068035525,2024.0,incumbent_running,1.0,,,,,mirror
H-IL-15,House,IL,15,False,False,census_map,2022,R,,,-42.4285,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-IL-16,House,IL,16,False,False,census_map,2022,R,,,-25.93611,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-IL-17,House,IL,17,False,False,census_map,2022,D,,,3.546824,538_2022,8.85278811359597,2024.0,incumbent_running,1.0,,,,,mirror
H-IN-01,House,IN,1,False,False,census_map,2022,D,,,6.346558,538_2022,8.493661747071016,2024.0,incumbent_running,1.0,,,,,mirror
H-IN-02,House,IN,2,False,False,census_map,2022,R,,,-26.09934,538_2022,-28.133379494803442,2024.0,incumbent_running,-1.0,,,,,mirror
H-IN-03,House,IN,3,False,False,census_map,2022,R,,,-34.17117,538_2022,-33.633670262792144,2024.0,incumbent_running,-1.0,,,,,mirror
H-IN-04,House,IN,4,False,False,census_map,2022,R,,,-33.35265,538_2022,-33.90132727637941,2024.0,incumbent_running,-1.0,,,,,mirror
H-IN-05,House,IN,5,False,False,census_map,2022,R,,,-21.72354,538_2022,-18.579692876471306,2024.0,incumbent_running,-1.0,,,,,mirror
H-IN-06,House,IN,6,False,False,census_map,2022,R,,,-36.74424,538_2022,-32.2366143870134,2024.0,incumbent_running,-1.0,,,,,mirror
H-IN-07,House,IN,7,False,False,census_map,2022,D,,,36.96736,538_2022,39.38849449564208,2024.0,incumbent_running,1.0,,,,,mirror
H-IN-08,House,IN,8,False,False,census_map,2022,R,,,-35.82268,538_2022,-38.509669903872606,2024.0,incumbent_running,-1.0,,,,,mirror
H-IN-09,House,IN,9,False,False,census_map,2022,R,,,-30.11917,538_2022,-31.666753437574116,2024.0,incumbent_running,-1.0,,,,,mirror
H-IA-01,House,IA,1,False,False,census_map,2022,R,,,-3.941143,538_2022,-0.19295881452286778,2024.0,incumbent_running,-1.0,,,,,mirror
H-IA-02,House,IA,2,False,False,census_map,2022,R,,,-5.458609,538_2022,-15.557653827525307,2024.0,incumbent_running,-1.0,,,,,mirror
H-IA-03,House,IA,3,False,False,census_map,2022,R,,,-2.251076,538_2022,-3.8226710744602244,2024.0,incumbent_running,-1.0,,,,,mirror
H-IA-04,House,IA,4,False,False,census_map,2022,R,,,-27.31831,538_2022,-34.333536637562055,2024.0,incumbent_running,-1.0,,,,,mirror
H-KS-01,House,KS,1,False,False,census_map,2022,R,,,-34.44489,538_2022,-38.27391627088136,2024.0,incumbent_running,-1.0,,,,,mirror
H-KS-02,House,KS,2,False,False,census_map,2022,R,,,-20.91362,538_2022,-18.880238868282248,2024.0,incumbent_running,-1.0,,,,,mirror
H-KS-03,House,KS,3,False,False,census_map,2022,D,,,-3.199989,538_2022,10.754500639407311,2024.0,incumbent_running,1.0,,,,,mirror
H-KS-04,House,KS,4,False,False,census_map,2022,R,,,-27.53099,538_2022,-30.099607665758754,2024.0,incumbent_running,-1.0,,,,,mirror
H-KY-01,House,KY,1,False,False,census_map,2022,R,,,-43.40771,538_2022,-49.431934084841814,2024.0,incumbent_running,-1.0,,,,,mirror
H-KY-02,House,KY,2,False,False,census_map,2022,R,,,-37.63331,538_2022,-46.203466770756535,2024.0,incumbent_running,-1.0,,,,,mirror
H-KY-03,House,KY,3,False,False,census_map,2022,D,,,20.47426,538_2022,23.908388844154892,2024.0,incumbent_running,1.0,,,,,mirror
H-KY-04,House,KY,4,False,False,census_map,2022,R,,,-33.69741,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-KY-05,House,KY,5,False,False,census_map,2022,R,,,-59.78954,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-KY-06,House,KY,6,False,False,census_map,2022,R,,,-13.11894,538_2022,-26.074331183820235,2024.0,incumbent_running,-1.0,,,,,mirror
H-LA-01,House,LA,1,False,False,litigation,2022,R,,,-40.22432,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-LA-02,House,LA,2,False,False,litigation,2022,D,,,55.67659,538_2022,,,incumbent_running,1.0,,,,,mirror
H-LA-03,House,LA,3,False,False,litigation,2022,R,,,-42.79865,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-LA-04,House,LA,4,False,False,litigation,2022,R,,,-33.83772,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-LA-05,House,LA,5,False,False,litigation,2022,R,,,-34.14235,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-LA-06,House,LA,6,False,False,litigation,2022,D,,,-22.77275,538_2022,,,incumbent_running,1.0,,,,,mirror
H-ME-01,House,ME,1,False,False,census_map,2022,D,,,16.01526,538_2022,22.313115409019346,2024.0,incumbent_running,1.0,,,,,mirror
H-ME-02,House,ME,2,False,False,census_map,2022,D,,,-10.29927,538_2022,0.18751259123803976,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-01,House,MD,1,False,False,census_map,2022,R,,,-25.06874,538_2022,-22.034098582039164,2024.0,incumbent_running,-1.0,,,,,mirror
H-MD-02,House,MD,2,False,False,census_map,2022,D,,,10.99566,538_2022,18.638024501421548,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-03,House,MD,3,False,False,census_map,2022,D,,,14.18876,538_2022,21.416583166332657,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-04,House,MD,4,False,False,census_map,2022,D,,,74.8873,538_2022,77.1827139535742,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-05,House,MD,5,False,False,census_map,2022,D,,,27.6208,538_2022,35.746040998272825,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-06,House,MD,6,False,False,census_map,2022,D,,,-0.9533374,538_2022,6.323017120523389,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-07,House,MD,7,False,False,census_map,2022,D,,,54.88766,538_2022,63.09088465104416,2024.0,incumbent_running,1.0,,,,,mirror
H-MD-08,House,MD,8,False,False,census_map,2022,D,,,52.80023,538_2022,56.34202776609172,2024.0,incumbent_running,1.0,,,,,mirror
H-MA-01,House,MA,1,False,False,census_map,2022,D,,,21.63849,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-02,House,MA,2,False,False,census_map,2022,D,,,29.77662,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-03,House,MA,3,False,False,census_map,2022,D,,,26.28056,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-04,House,MA,4,False,False,census_map,2022,D,,,27.75373,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-05,House,MA,5,False,False,census_map,2022,D,,,49.79446,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-06,House,MA,6,False,False,census_map,2022,D,,,26.04362,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-07,House,MA,7,False,False,census_map,2022,D,,,73.41786,538_2022,,,incumbent_running,1.0,,,,,mirror
H-MA-08,House,MA,8,False,False,census_map,2022,D,,,34.05433,538_2022,41.0779396544861,2024.0,incumbent_running,1.0,,,,,mirror
H-MA-09,House,MA,9,False,False,census_map,2022,D,,,16.72963,538_2022,13.017394908097096,2024.0,incumbent_running,1.0,,,,,mirror
