date,approve,disapprove,net,provenance
2026-06-26,40.58589619683575,54.20865877309673,-13.622762576260982,fixture
2026-06-27,40.5352558308571,54.252442140733635,-13.717186309876531,fixture
2026-06-28,40.50638339415418,54.339808114633456,-13.833424720479279,fixture
2026-06-29,40.552241167063585,54.2074283318095,-13.655187164745918,fixture
2026-06-30,40.45693376050659,54.10714587911091,-13.650212118604323,fixture
2026-07-01,40.42007104559435,54.03994239418589,-13.619871348591545,fixture
2026-07-02,40.42140289371045,53.997132200151796,-13.575729306441346,fixture
2026-07-03,40.49881748841218,53.85304157485045,-13.354224086438272,fixture
2026-07-04,40.3672160025375,53.77092140461066,-13.403705402073157,fixture
2026-07-05,40.504362948266206,53.89390144493319,-13.389538496666987,fixture
2026-07-06,40.46911721167604,53.81705709094143,-13.34793987926539,fixture
2026-07-07,40.4860588537864,53.80009445742973,-13.314035603643326,fixture
2026-07-08,40.570767684179856,53.81112643680049,-13.240358752620637,fixture
2026-07-09,40.63684697635256,53.734787623974945,-13.097940647622387,fixture
2026-07-10,40.74277016497011,53.731948973459964,-12.989178808489854,fixture
2026-07-11,40.7600899466133,54.02530445885974,-13.265214512246445,fixture
2026-07-12,40.75812861127584,53.869565646860934,-13.11143703558509,fixture
2026-07-13,40.78977646520381,53.76579364672037,-12.97601718151656,fixture
2026-07-14,40.690204926185146,53.778052568807155,-13.087847642622009,fixture
2026-07-15,40.811623663083566,53.81529223171024,-13.003668568626672,fixture
2026-07-16,40.73408503821946,53.792627389020076,-13.058542350800614,fixture
2026-07-17,40.6080606502312,53.92106677169594,-13.313006121464738,fixture
2026-07-18,40.813701528325055,53.890426205331934,-13.07672467700688,fixture
2026-07-19,40.80005703437377,53.9134459114098,-13.11338887703603,fixture
2026-07-20,40.68214454714078,53.94874099564601,-13.266596448505233,fixture
2026-07-21,40.86737151915207,54.041052851230894,-13.173681332078822,fixture
2026-07-22,40.83440025670956,54.10891647129634,-13.274516214586782,fixture
2026-07-23,40.940607835488116,53.998286827800534,-13.057678992312418,fixture
2026-07-24,40.85765896315337,53.8647847245177,-13.007125761364328,fixture
2026-07-25,40.83278096102791,53.81450091742859,-12.981719956400681,fixture
2026-07-26,40.66392802568027,53.81905457927921,-13.15512655359894,fixture
2026-07-27,40.47303408979674,53.90684491759706,-13.433810827800322,fixture
2026-07-28,40.375390630990466,53.83506954968289,-13.459678918692425,fixture
2026-07-29,40.36758672913736,53.67397593022339,-13.306389201086034,fixture
2026-07-30,40.447385300155965,53.835426325651575,-13.38804102549561,fixture
2026-07-31,40.690007350278044,53.71800039543476,-13.027993045156713,fixture
2026-08-01,40.586821050768584,53.934567360782786,-13.347746310014202,fixture
2026-08-02,40.687725080745466,53.96856826841763,-13.280843187672161,fixture
2026-08-03,40.62729098489688,53.930105807204185,-13.302814822307305,fixture
2026-08-04,40.61203805428659,54.066604516671276,-13.454566462384683,fixture
2026-08-05,40.46391889245687,54.21830358929135,-13.754384696834485,fixture
2026-08-06,40.31602031876983,54.199736212344874,-13.883715893575044,fixture
2026-08-07,40.23817425848978,54.112064709249964,-13.873890450760186,fixture
2026-08-08,40.11886319625972,54.159610014193916,-14.040746817934199,fixture
2026-08-09,40.11850775719206,54.025220812919,-13.90671305572694,fixture
2026-08-10,40.048256310812214,54.10321301954902,-14.054956708736803,fixture
2026-08-11,40.173326018187005,53.927777879122104,-13.754451860935099,fixture
2026-08-12,40.18862798931515,53.915737378241644,-13.727109388926493,fixture
2026-08-13,40.20515180824087,53.892207047661,-13.687055239420133,fixture
2026-08-14,40.31889532811016,53.83071347741075,-13.511818149300588,fixture
2026-08-15,40.370706555013825,53.798610791742,-13.427904236728175,fixture
2026-08-16,40.36697325680522,53.61403276124165,-13.247059504436436,fixture
2026-08-17,40.35790092063848,53.39338445490082,-13.03548353426234,fixture
2026-08-18,40.34580605691831,53.33877267495951,-12.992966618041194,fixture
2026-08-19,40.45347825252384,53.3553431524378,-12.90186489991396,fixture
2026-08-20,40.53178681419251,53.472953222343214,-12.941166408150707,fixture
2026-08-21,40.56837860998313,53.548390694988704,-12.980012085005576,fixture
2026-08-22,40.64826154269135,53.547465876087536,-12.899204333396185,fixture
2026-08-23,40.59380821280582,53.557599761794116,-12.963791548988297,fixture
2026-08-24,40.64491049327258,53.56196712165554,-12.917056628382959,fixture
2026-08-25,40.503677126975546,53.56146227655256,-13.057785149577015,fixture
2026-08-26,40.63840418220114,53.51190830434053,-12.873504122139387,fixture
2026-08-27,40.64740900808763,53.64697702486112,-12.999568016773495,fixture
2026-08-28,40.66574830816477,53.74952458766198,-13.083776279497208,fixture
2026-08-29,40.72568669274432,53.63733250061041,-12.911645807866094,fixture
2026-08-30,40.724715735308216,53.553503246694866,-12.82878751138665,fixture
2026-08-31,40.699304946816625,53.607081397593305,-12.90777645077668,fixture
2026-09-01,40.818283409024765,53.47754799953383,-12.659264590509068,fixture
2026-09-02,40.82985847609575,53.54518712600581,-12.715328649910056,fixture
2026-09-03,40.73827130879968,53.57036633441815,-12.832095025618472,fixture
2026-09-04,40.782227200377605,53.75291344091177,-12.970686240534164,fixture
2026-09-05,40.61171515615885,53.66820121417526,-13.05648605801641,fixture
2026-09-06,40.77726939988242,53.66907632330359,-12.891806923421171,fixture
