race_id,poll_margin,poll_sd,poll_sd_election,n_polls,last_poll_date,days_since_last_poll,provenance
H-CA-13,7.870451827707617,3.055047681024486,3.304680973003762,3,2026-09-09,6,fixture
H-CA-23,-8.328628110419094,3.5754170562373626,3.790937499621043,2,2026-08-11,35,fixture
H-CA-27,13.889219435999365,6.682339423569327,6.800092659059056,1,2026-07-13,64,fixture
H-CA-40,2.8978525670884814,2.374224489866486,2.687850800971247,7,2026-08-20,26,fixture
H-CA-41,-4.041677232864147,3.873232462417405,4.073024638757295,3,2026-07-30,47,fixture
H-CA-45,4.410860784169898,4.049437472177173,4.240936670250177,2,2026-07-01,76,fixture
H-CA-47,15.57295144353077,3.541729725295153,3.7591820183437887,3,2026-09-01,14,fixture
H-CO-03,-12.312440298180132,5.668636672729416,5.806982153185321,1,2026-07-13,64,fixture
H-CO-04,-24.924496881244036,4.728865577345952,4.89385018657166,1,2026-06-24,83,fixture
H-CO-06,14.958289765134385,6.240382343012919,6.366315401155319,1,2026-06-16,91,fixture
H-CO-08,2.7925704290765934,2.3041806838977243,2.626185184644713,9,2026-09-09,6,fixture
H-CT-03,10.811900226944443,5.030024993526887,5.185436474927174,1,2026-09-09,6,fixture
H-CT-05,2.400969884037895,5.608029724435461,5.7478341477596295,1,2026-09-08,7,fixture
H-FL-07,-6.868799337031219,4.287818029230243,4.4691143923368,2,2026-06-04,103,fixture
H-FL-08,-17.674328919949488,4.913077501173046,5.072073592972876,1,2026-06-04,103,fixture
H-FL-09,17.345998169401987,5.762162776544071,5.898315002048473,1,2026-07-07,70,fixture
H-FL-11,-11.327645031679115,5.311359415041728,5.458767153465368,1,2026-06-03,104,fixture
H-FL-14,-0.6979956469893962,5.870379241134791,6.004077983732913,1,2026-06-03,104,fixture
H-FL-15,-14.455181273871554,4.362925532569967,4.541224416691046,2,2026-08-28,18,fixture
H-FL-16,-14.103225768906713,6.691812784295337,6.809402201372636,1,2026-05-20,118,fixture
H-FL-17,-16.228155760794873,3.8880028507950217,4.087073056331415,2,2026-09-11,4,fixture
H-FL-21,-18.71809208559876,5.667979421123567,5.806340561686013,1,2026-07-01,76,fixture
H-FL-26,-6.356602549297607,4.60890357654651,4.778032249567097,2,2026-08-31,15,fixture
H-FL-27,4.101605235514505,4.695656183823382,4.861767887988768,2,2026-05-26,112,fixture
H-FL-28,1.2354891081570063,2.68033693410193,2.961723498287937,5,2026-08-28,18,fixture
H-GA-02,6.6254134196100205,2.4726655164570435,2.77518913882924,6,2026-09-14,1,fixture
H-GA-07,18.93213384559405,5.282971444393955,5.431149720112856,1,2026-06-03,104,fixture
H-GA-12,-6.274943639928938,5.136591303047579,5.288872300835409,1,2026-08-01,45,fixture
H-IA-01,-3.886270546087325,4.037532763126054,4.229570996367871,2,2026-06-27,80,fixture
H-IA-02,3.187041914263852,3.5756522402347115,3.791159313863704,3,2026-07-25,52,fixture
H-IA-03,2.844032463709641,2.721404482836843,2.9989402060068597,5,2026-09-01,14,fixture
H-IL-06,2.972448371994019,3.7766645400502274,3.981305696385646,2,2026-07-19,58,fixture
H-IL-08,7.5976184379889435,4.21130207470265,4.395755357659802,2,2026-09-06,9,fixture
H-IL-13,11.627814047895257,4.7754809265563365,4.9389085919769125,1,2026-08-03,43,fixture
H-IL-14,10.102998139617426,5.37848304837872,5.524099917787263,1,2026-05-17,121,fixture
H-IL-17,4.441319796721983,3.5992322871882982,3.8134070143558905,3,2026-07-12,65,fixture
H-IN-01,5.975445107217786,6.686405942129018,6.804088801811616,1,2026-07-25,52,fixture
H-IN-05,-20.220960573490412,3.9010719882023555,4.099507611547645,2,2026-08-13,33,fixture
H-KS-03,-1.9218903007210968,3.043531480631331,3.29403762479938,4,2026-07-05,72,fixture
H-KY-03,20.791690885179587,5.08769547559617,5.241397261456313,1,2026-04-21,147,fixture
H-MA-04,27.52258020909171,6.04093203466205,6.17093670745424,1,2026-07-15,62,fixture
H-MA-09,24.102074990288603,5.678292632902726,5.816408447218728,1,2026-07-16,61,fixture
H-MD-02,14.039272114494828,6.147297960117788,6.275099378533245,1,2026-07-22,55,fixture
H-MD-03,10.822367911385827,5.005080770986484,5.161243408724167,1,2026-05-25,113,fixture
H-MD-06,7.254576222962398,4.250782145278377,4.433593220697794,2,2026-06-23,84,fixture
H-ME-02,-6.87616431237063,3.9810467239999947,4.175683539095257,2,2026-09-11,4,fixture
H-MI-02,-26.367314912737985,5.265784201472404,5.414432865635732,1,2026-04-19,149,fixture
H-MI-03,5.070762293946237,3.6267110442104995,3.8393532005011486,3,2026-06-18,89,fixture
H-MI-04,-0.1703001170946053,6.767236434162846,6.883537532102303,1,2026-06-14,93,fixture
H-MI-07,-0.898303119034921,3.0567236433597365,3.3062303960665567,4,2026-09-14,1,fixture
H-MI-08,5.9033916848305585,2.7949916521842626,3.0658731767279144,5,2026-09-04,11,fixture
H-MI-11,15.39469980435123,5.98711262222857,6.118260990775783,1,2026-09-12,3,fixture
H-MN-01,-8.211109063394627,6.095235310044521,6.224105838175756,1,2026-07-31,46,fixture
H-MN-02,5.269518032235541,3.6088711017180226,3.822505804942022,3,2026-09-04,11,fixture
H-MN-03,13.752403936890623,3.885260119037787,4.084464003095818,2,2026-07-22,55,fixture
H-MN-06,-30.736012494966243,5.323486702324292,5.470567673452506,1,2026-09-14,1,fixture
H-MN-08,-15.63559444788249,4.844343330313439,5.005523179643893,2,2026-05-24,114,fixture
H-MS-03,-35.48720463427787,6.5112459740585775,6.63203770606697,1,2026-04-26,142,fixture
H-MT-01,-12.192522611236027,5.367007219717378,5.512927216687923,1,2026-05-13,125,fixture
H-NC-01,12.695475198488566,5.41043607248827,5.555215431869614,1,2026-05-10,128,fixture
H-NC-06,14.067779594412373,4.409695121148478,4.586176082694677,2,2026-09-01,14,fixture
H-NC-07,-13.286672098728733,4.6313868793216395,4.799723369732117,1,2026-09-04,11,fixture
H-NC-13,-1.825546147174538,3.9310532090008077,4.128047883927165,3,2026-07-17,60,fixture
H-NE-02,5.205349616086238,2.2011019793380693,2.536227498361684,8,2026-09-12,3,fixture
H-NH-01,1.3584460718240534,3.2148394247349277,3.4529396934829317,5,2026-08-11,35,fixture
H-NH-02,5.8245827353301065,3.919020020535994,4.116590570042392,2,2026-07-08,69,fixture
H-NJ-02,-0.4565630363035628,5.009604589648609,5.165630469229134,1,2026-05-25,113,fixture
H-NJ-03,2.2023248649395937,5.020688213678167,5.1763800226574235,1,2026-05-23,115,fixture
H-NJ-05,12.184814480522709,4.144506675959458,4.331805118778142,2,2026-08-17,29,fixture
H-NJ-07,-7.053366594369297,3.82188279970137,4.0242251595373215,2,2026-09-09,6,fixture
H-NJ-09,14.395119969623797,6.311658302248556,6.436196899127864,1,2026-05-07,131,fixture
H-NJ-11,5.904387094290256,6.028476254062297,6.158743861031483,1,2026-09-05,10,fixture
H-NM-01,12.846398671145227,5.59919212340015,5.739211830447303,1,2026-09-07,8,fixture
H-NM-03,15.894173369114416,6.53698297316166,6.657307743480502,1,2026-09-03,12,fixture
H-NV-01,4.531636221957723,2.4313624017603357,2.7384526887813467,6,2026-09-01,14,fixture
H-NV-02,-14.44479733645539,3.4108939261154543,3.636178952583508,3,2026-09-04,11,fixture
H-NV-03,6.723923881958516,2.9355265647938404,3.1945134547549374,5,2026-08-27,19,fixture
H-NV-04,14.912793010455998,6.605536760162197,6.724635000492896,1,2026-08-14,32,fixture
H-NY-01,-3.551294930422708,3.756224065458365,3.9619211539262826,2,2026-09-10,5,fixture
H-NY-02,-2.308622236115563,3.098227160506623,3.344639223907555,4,2026-09-15,0,fixture
H-NY-03,13.82216491730384,3.770877231474242,3.975816280319155,3,2026-08-23,23,fixture
H-NY-11,-2.22787032046842,3.164176672020117,3.4058206076885935,3,2026-09-14,1,fixture
H-NY-17,4.754384059461645,5.922560474921402,6.055107148440993,1,2026-05-20,118,fixture
H-NY-18,11.703417274837745,4.028207990832838,4.22067051751372,2,2026-08-11,35,fixture
H-NY-19,6.659272009315528,4.339456512655576,4.518681536159513,2,2026-08-14,32,fixture
H-NY-22,3.9160823713726804,2.6091770522738438,2.897482509026142,6,2026-09-01,14,fixture
H-NY-25,16.500860759047185,3.9026197582273707,4.100980489749575,2,2026-08-31,15,fixture
H-NY-26,-5.678633237291212,6.638545989005443,6.75706244222593,1,2026-08-01,45,fixture
H-OH-07,-4.969058744696559,6.207356591499581,6.3339463096898205,1,2026-06-20,87,fixture
H-OH-09,4.557469935276587,3.538856633375275,3.756475245703635,3,2026-09-13,2,fixture
H-OH-10,-13.101457424514,3.6526459811307346,3.8638611082012906,3,2026-09-14,1,fixture
H-OH-13,-2.902514238198713,3.46628949209287,3.6881923543917075,3,2026-05-25,113,fixture
H-OH-15,-8.218084009005592,3.590642259198246,3.805300491885008,3,2026-07-11,66,fixture
H-OR-02,-14.296930842705827,5.119340554879819,5.272119850386295,1,2026-07-15,62,fixture
H-OR-04,21.11665123588461,6.124580916606513,6.25284666404516,1,2026-07-02,75,fixture
H-OR-05,4.565865162270573,4.088842757837652,4.278578630611037,2,2026-06-18,89,fixture
H-PA-01,-0.21114858781296397,3.633470213784153,3.8457386539462948,3,2026-07-07,70,fixture
H-PA-04,19.721101442358197,5.697619735778692,5.835278112783902,1,2026-07-23,54,fixture
H-PA-07,0.3165681673565297,3.456506308627427,3.678999301655438,3,2026-08-26,20,fixture
H-PA-08,-2.3383847552953605,2.295992385245643,2.619003824568795,7,2026-08-28,18,fixture
H-PA-12,20.369903236665838,4.143003308080602,4.330366775547634,2,2026-07-20,57,fixture
H-PA-17,-0.8514193271723682,2.030184849289955,2.389403800592624,10,2026-08-27,19,fixture
H-SC-01,-9.385689793204218,6.002003361175723,6.132833305052786,1,2026-08-23,23,fixture
H-TN-05,-5.6985288087997175,5.955121823653941,6.086959498350505,1,2026-05-02,136,fixture
H-TX-15,-1.8895698891120467,2.7358990778295285,3.0120995607828878,5,2026-08-13,33,fixture
H-TX-21,-16.911274175269345,5.087894783219412,5.2415907246857145,1,2026-07-28,49,fixture
H-TX-23,-11.688404886221274,5.392201424259774,5.537457557380385,1,2026-05-06,132,fixture
H-TX-26,-26.56366928179045,5.624834292499829,5.7642311558508865,1,2026-05-21,117,fixture
H-TX-27,-25.454670547787014,4.6551863887466425,4.8226922267517764,1,2026-07-24,53,fixture
H-TX-28,12.622447510332371,5.643869317590089,5.782807352319011,1,2026-08-19,27,fixture
H-UT-03,-23.297772811653676,4.981906687887674,5.138773613112368,1,2026-04-23,145,fixture
H-VA-02,-0.9951170711658004,2.226132254700791,2.5579806127919005,8,2026-09-12,3,fixture
H-VA-05,-1.7970779970303332,4.294898767596615,4.47590833506484,2,2026-08-19,27,fixture
H-VA-07,2.974927626507133,4.917606964684537,5.0764611944851765,1,2026-06-23,84,fixture
H-VA-10,8.898591624961742,3.955219497624161,4.1510674861276735,2,2026-08-29,17,fixture
H-WA-02,10.322200126029111,6.007038743328781,6.13776135605263,1,2026-09-06,9,fixture
H-WA-03,-18.19864624683053,4.79725517909824,4.959965448809587,1,2026-07-01,76,fixture
H-WA-08,10.48512646566542,4.093255396990313,4.282795786047979,2,2026-08-23,23,fixture
H-WI-01,0.6639970785476637,4.152999959708632,4.339931873352381,2,2026-08-05,41,fixture
H-WI-08,-4.773219477116836,6.577750006360708,6.697342394276875,1,2026-08-08,38,fixture
S-AK,-13.279140987577772,4.123277787285571,4.3114985458796795,2,2026-05-05,133,fixture
S-CO,6.038447082709426,6.327671168217274,6.4519006822089375,1,2026-05-14,124,fixture
S-FL-special,-0.22043754790523443,2.3355564946370153,2.653756608967963,8,2026-09-14,1,fixture
S-GA,2.427553991838904,2.447538914217519,2.7528252281263828,9,2026-08-20,26,fixture
S-IA,-7.707855811585469,2.5103630788262596,2.808829433684797,5,2026-09-14,1,fixture
S-IL,15.67291602207848,5.1017737242075905,5.255063761079877,1,2026-04-20,148,fixture
S-KS,-8.29898801375117,3.715022338906946,3.9228804440841216,2,2026-08-03,43,fixture
S-KY,-14.504512786596887,6.490090669971653,6.6112689330001615,1,2026-08-25,21,fixture
S-MA,28.71126497489211,5.726814095705144,5.863787145417809,1,2026-06-17,90,fixture
S-ME,3.9440336528335824,2.2095762236927334,2.5435854788680174,10,2026-08-24,22,fixture
S-MI,0.36889356784222355,2.1867453677277395,2.523777982168544,11,2026-08-25,21,fixture
S-MN,4.201229233588575,2.7912845466273373,3.0624939869721506,5,2026-09-01,14,fixture
S-MS,-10.060221447385338,6.590462694323747,6.709828501927082,1,2026-08-17,29,fixture
S-NC,-4.223414695783822,2.1681965784881454,2.507723350564751,9,2026-09-12,3,fixture
S-NH,5.86484627400187,2.940762926391024,3.19932595857876,4,2026-07-19,58,fixture
S-NJ,15.095531648852896,4.71926502261228,4.884573917308621,1,2026-08-18,28,fixture
S-NM,-2.551127361341363,4.644896019104539,4.81276002188902,2,2026-08-05,41,fixture
S-TN,-23.815941964104958,6.463312252634101,6.58498331623172,1,2026-07-16,61,fixture
S-TX,-22.439303622529902,5.877336334578527,6.010880334007403,1,2026-09-14,1,fixture
S-VA,4.3011189955153455,2.452344487731192,2.7570987444242117,6,2026-08-26,20,fixture
